# US ZIP (ZCTA) -> county, largest-area match — US Census 2020 ZCTA-county relationship file, public domain.
# zip,county,state_fips
01255,Berkshire County,25
01256,Berkshire County,25
01257,Berkshire County,25
01258,Berkshire County,25
01259,Berkshire County,25
01260,Berkshire County,25
01262,Berkshire County,25
01264,Berkshire County,25
01266,Berkshire County,25
01267,Berkshire County,25
01270,Berkshire County,25
01301,Franklin County,25
01330,Franklin County,25
01331,Worcester County,25
01337,Franklin County,25
01338,Franklin County,25
01339,Franklin County,25
01340,Franklin County,25
01341,Franklin County,25
01342,Franklin County,25
01343,Berkshire County,25
01344,Franklin County,25
01346,Franklin County,25
01347,Franklin County,25
01349,Franklin County,25
01350,Franklin County,25
01351,Franklin County,25
01354,Franklin County,25
01355,Franklin County,25
01360,Franklin County,25
01364,Franklin County,25
01366,Worcester County,25
01367,Franklin County,25
01368,Worcester County,25
01370,Franklin County,25
01373,Franklin County,25
01375,Franklin County,25
01376,Franklin County,25
01378,Franklin County,25
01379,Franklin County,25
01380,Franklin County,25
01420,Worcester County,25
01430,Worcester County,25
01431,Middlesex County,25
01432,Middlesex County,25
01434,Worcester County,25
01436,Worcester County,25
01438,Worcester County,25
01440,Worcester County,25
01450,Middlesex County,25
01451,Worcester County,25
01452,Worcester County,25
01453,Worcester County,25
01460,Middlesex County,25
01462,Worcester County,25
01463,Middlesex County,25
01464,Middlesex County,25
01468,Worcester County,25
01469,Middlesex County,25
01473,Worcester County,25
01474,Middlesex County,25
01475,Worcester County,25
01501,Worcester County,25
01503,Worcester County,25
01504,Worcester County,25
01505,Worcester County,25
01506,Worcester County,25
01507,Worcester County,25
01510,Worcester County,25
01515,Worcester County,25
01516,Worcester County,25
01518,Worcester County,25
01519,Worcester County,25
01520,Worcester County,25
01521,Hampden County,25
01522,Worcester County,25
01523,Worcester County,25
01524,Worcester County,25
01525,Worcester County,25
01527,Worcester County,25
01529,Worcester County,25
01531,Worcester County,25
01532,Worcester County,25
01534,Worcester County,25
01535,Worcester County,25
01536,Worcester County,25
01537,Worcester County,25
01540,Worcester County,25
01541,Worcester County,25
01542,Worcester County,25
01543,Worcester County,25
01545,Worcester County,25
01550,Worcester County,25
01560,Worcester County,25
01561,Worcester County,25
01562,Worcester County,25
01564,Worcester County,25
01566,Worcester County,25
01568,Worcester County,25
01569,Worcester County,25
01570,Worcester County,25
01571,Worcester County,25
01581,Worcester County,25
01583,Worcester County,25
01585,Worcester County,25
01588,Worcester County,25
01590,Worcester County,25
01602,Worcester County,25
01603,Worcester County,25
01604,Worcester County,25
01605,Worcester County,25
01606,Worcester County,25
01607,Worcester County,25
01608,Worcester County,25
01609,Worcester County,25
01610,Worcester County,25
01611,Worcester County,25
01612,Worcester County,25
01701,Middlesex County,25
01702,Middlesex County,25
01718,Middlesex County,25
01719,Middlesex County,25
01720,Middlesex County,25
01721,Middlesex County,25
01730,Middlesex County,25
01731,Middlesex County,25
01740,Worcester County,25
01741,Middlesex County,25
01742,Middlesex County,25
01745,Worcester County,25
01746,Middlesex County,25
01747,Worcester County,25
01748,Middlesex County,25
01749,Middlesex County,25
01752,Middlesex County,25
01754,Middlesex County,25
01756,Worcester County,25
01757,Worcester County,25
01760,Middlesex County,25
01770,Middlesex County,25
01772,Worcester County,25
01773,Middlesex County,25
01775,Middlesex County,25
01776,Middlesex County,25
01778,Middlesex County,25
01801,Middlesex County,25
01803,Middlesex County,25
01810,Essex County,25
01821,Middlesex County,25
01824,Middlesex County,25
01826,Middlesex County,25
01827,Middlesex County,25
01830,Essex County,25
01832,Essex County,25
01833,Essex County,25
01834,Essex County,25
01835,Essex County,25
01840,Essex County,25
01841,Essex County,25
01843,Essex County,25
01844,Essex County,25
01845,Essex County,25
01850,Middlesex County,25
01851,Middlesex County,25
01852,Middlesex County,25
01854,Middlesex County,25
01860,Essex County,25
01862,Middlesex County,25
01863,Middlesex County,25
01864,Middlesex County,25
01867,Middlesex County,25
01876,Middlesex County,25
01879,Middlesex County,25
01880,Middlesex County,25
01886,Middlesex County,25
